fen,target
6k1/8/5KP1/6P1/8/8/8/8 w - - 0 1,checkmate
5k2/2K5/3P4/1b5B/8/8/8/8 w - - 0 1,checkmate
3k4/8/3KP3/8/4P3/8/8/8 w - - 0 1,checkmate
1R6/8/8/8/2K5/8/p7/k7 w - - 0 1,checkmate
8/8/3k4/8/3K4/8/p2R4/r7 w - - 0 1,draw
8/8/8/2k2K1P/8/8/8/r7 w - - 0 1,draw
8/8/8/1K1pk3/8/8/1P6/8 w - - 0 1,draw
1K6/8/3k4/5p2/8/4P3/8/8 w - - 0 1,draw
8/8/3b4/8/5ppk/8/4B1K1/8 w - - 0 1,draw
r7/8/5kP1/5P2/5K2/8/8/6R1 w - - 0 1,checkmate
K6Q/8/8/8/8/1p6/k7/8 w - - 0 1,checkmate
8/kP6/8/P7/K7/8/8/8 w - - 0 1,checkmate
8/n7/4K3/8/8/k6P/8/8 w - - 0 1,checkmate
8/8/8/7p/1PK2k2/8/8/8 w - - 0 1,checkmate
1K6/2R5/8/7p/7k/8/8/8 w - - 0 1,checkmate
8/8/5p2/8/8/2k5/7P/3K4 w - - 0 1,checkmate
8/8/5Ppk/8/8/4K3/8/8 w - - 0 1,checkmate
8/8/3k4/8/3P4/3P4/3K4/8 w - - 0 1,checkmate
8/7p/8/1K6/8/8/4Qp2/6k1 w - - 0 1,checkmate
8/6p1/8/8/k7/7K/6P1/8 w - - 0 1,checkmate
8/3k4/8/1P6/8/1P6/8/5K2 w - - 0 1,checkmate
8/1k3K2/8/8/5p2/4p3/6R1/8 w - - 0 1,checkmate
6b1/6P1/3k1KB1/8/8/8/8/8 w - - 0 1,checkmate
6RK/8/3k4/2p5/8/8/8/8 w - - 0 1,checkmate
4r3/8/8/4KP2/8/R7/6k1/8 w - - 0 1,checkmate
1r4k1/5RP1/6PK/8/8/8/8/8 w - - 0 1,checkmate
8/8/8/8/8/8/1r1kpK2/R7 w - - 0 1,draw
r7/8/8/4PK2/8/8/k7/8 w - - 0 1,draw
8/K7/2kp4/8/8/3N2p1/8/8 w - - 0 1,draw
8/8/8/8/7p/5p2/8/4K2k w - - 0 1,draw
8/8/5p2/8/4P1k1/8/7K/8 w - - 0 1,draw
8/8/4K3/8/1p6/8/2k5/1N6 w - - 0 1,draw
8/6N1/5k2/2K5/8/8/7p/8 w - - 0 1,draw
8/2p5/8/1k1P4/8/K7/8/8 w - - 0 1,draw
6k1/8/5p1p/7K/8/8/8/8 w - - 0 1,draw
6r1/1R6/8/8/8/8/5p2/5k1K w - - 0 1,draw
k7/8/1p6/8/1P3K2/8/8/8 w - - 0 1,checkmate
7R/8/8/8/2K5/k7/3r4/8 w - - 0 1,checkmate
K7/1R6/5p2/8/4k3/8/8/8 w - - 0 1,checkmate
K5R1/8/6p1/5k2/8/8/8/8 w - - 0 1,checkmate
8/K7/8/5P2/8/5n2/kP6/8 w - - 0 1,checkmate
8/8/k7/3P4/8/8/P7/K7 w - - 0 1,checkmate
8/8/8/Q7/8/8/pp1K4/1k6 w - - 0 1,checkmate
8/8/8/8/8/3k4/2p1p3/2K4R w - - 0 1,checkmate
